Season,Thermal comfort,Air temperature,Relative humidity,Outdoor air temperature
4,5.0,24.2,50.2,25.0
4,3.0,24.2,50.2,25.0
4,4.0,24.2,50.2,25.0
4,5.0,24.2,50.2,25.0
4,4.0,24.2,50.2,25.0
4,2.0,23.6,51.5,25.0
4,4.0,23.6,51.5,25.0
4,3.0,23.6,51.5,25.0
4,4.0,23.6,51.5,25.0
4,4.0,23.6,51.5,25.0
4,3.0,23.6,51.5,25.0
4,3.0,23.6,51.5,25.0
2,3.0,26.9,72.8,18.0
2,3.0,26.9,72.8,18.0
2,3.0,26.9,72.8,18.0
2,3.0,26.9,72.8,18.0
2,3.0,26.9,72.8,18.0
2,3.0,26.9,72.8,18.0
2,3.0,26.9,72.8,18.0
2,4.0,26.9,72.8,18.0
2,3.0,26.9,72.8,18.0
2,4.0,26.9,72.8,18.0
2,3.0,26.9,72.8,18.0
2,5.0,26.9,72.8,18.0
2,3.0,26.9,72.8,18.0
2,5.0,26.9,72.8,18.0
2,4.0,26.9,72.8,18.0
2,4.0,26.9,72.8,18.0
2,5.0,26.9,72.8,18.0
2,5.0,26.9,72.8,18.0
4,4.0,24.3,35.3,31.7
4,4.0,24.5,35.0,31.7
4,3.0,24.2,38.7,32.8
4,2.0,23.8,40.0,32.8
4,3.0,24.3,38.3,32.8
4,4.0,23.9,39.4,32.8
4,4.0,24.4,37.9,32.8
4,2.0,23.8,43.8,32.8
4,3.0,23.8,43.6,32.8
4,4.0,23.8,35.8,32.8
4,3.0,23.8,42.3,32.8
4,3.0,23.8,42.8,32.8
4,4.0,23.9,35.9,32.8
4,3.0,23.8,44.3,32.8
4,2.0,23.9,39.2,28.9
4,2.0,23.8,39.2,28.9
4,2.0,23.7,38.3,28.9
4,2.0,24.0,38.4,28.9
4,5.0,24.1,37.9,31.7
4,4.0,23.8,39.4,31.7
4,4.0,23.6,41.8,32.8
4,5.0,24.8,36.9,31.7
4,4.0,24.3,42.6,31.7
4,4.0,24.1,43.6,31.7
4,3.0,24.0,44.1,31.7
4,5.0,24.6,34.5,31.7
4,3.0,23.4,43.9,31.7
4,4.0,23.9,43.2,31.7
4,5.0,24.7,39.5,31.7
4,4.0,24.0,34.8,28.9
4,4.0,24.0,35.3,29.4
4,3.0,26.9,33.0,32.8
4,5.0,25.6,34.7,32.8
4,5.0,24.2,42.1,28.9
4,4.0,23.6,45.9,28.9
4,4.0,26.3,34.0,28.9
4,3.0,22.6,37.6,28.9
4,5.0,24.9,34.3,32.8
4,4.0,25.5,34.7,32.8
4,3.0,25.0,36.0,32.8
4,3.0,24.7,42.2,32.8
4,3.0,24.6,38.4,32.8
4,4.0,24.7,39.4,32.8
4,5.0,24.2,40.2,32.8
4,4.0,23.3,40.8,28.9
4,4.0,23.4,39.1,28.9
4,4.0,22.9,48.9,28.9
4,4.0,23.2,42.2,28.9
4,3.0,24.0,41.0,28.9
4,4.0,24.4,37.4,28.9
1,3.0,25.2,64.0,30.8
1,4.0,25.2,64.0,30.8
1,3.0,25.2,64.0,30.8
1,4.0,25.2,64.0,30.8
1,6.0,26.9,63.0,30.8
1,3.0,26.9,63.0,30.8
1,6.0,26.9,63.0,30.8
1,4.0,26.9,63.0,30.8
1,5.0,26.9,63.0,30.8
1,4.0,26.9,63.0,30.8
1,4.0,26.9,63.0,30.8
1,4.0,26.9,59.0,30.8
1,3.0,26.9,59.0,30.8
1,6.0,26.9,59.0,30.8
1,5.0,26.4,59.0,30.8
1,3.0,26.9,59.0,30.8
1,4.0,26.9,59.0,30.8
1,4.0,26.9,59.0,30.8
1,6.0,26.9,59.0,30.8
1,5.0,26.9,59.0,30.8
1,4.0,26.9,59.0,30.8
1,4.0,25.8,60.0,30.8
1,4.0,25.8,60.0,30.8
1,3.0,25.8,60.0,30.8
1,6.0,25.8,60.0,30.8
1,4.0,26.4,60.0,30.8
1,3.0,26.4,60.0,30.8
1,5.0,26.4,60.0,30.8
1,4.0,26.4,60.0,30.8
1,3.0,26.4,60.0,30.8
1,5.0,26.4,60.0,30.8
1,4.0,26.4,60.0,30.8
1,4.0,24.7,58.0,30.8
1,3.0,24.7,58.0,30.8
1,4.0,24.7,58.0,30.8
1,3.0,24.7,58.0,30.8
1,4.0,26.8,48.0,30.8
1,5.0,26.8,48.0,30.8
1,3.0,26.8,48.0,30.8
1,5.0,26.8,48.0,30.8
1,3.0,26.8,48.0,30.8
1,3.0,26.8,48.0,30.8
1,7.0,26.3,49.0,30.8
1,3.0,26.3,49.0,30.8
1,6.0,26.3,49.0,30.8
1,7.0,26.3,49.0,30.8
1,4.0,26.3,49.0,30.8
1,3.0,26.3,49.0,30.8
1,3.0,25.2,43.0,30.8
1,5.0,25.2,43.0,30.8
1,3.0,25.2,43.0,30.8
1,3.0,25.2,43.0,30.8
1,4.0,25.2,43.0,30.8
1,4.0,25.2,43.0,30.8
1,5.0,30.2,60.0,30.8
1,7.0,30.2,60.0,30.8
1,6.0,30.2,60.0,30.8
1,6.0,30.2,60.0,30.8
1,5.0,30.2,60.0,30.8
1,6.0,30.2,60.0,30.8
1,3.0,26.7,67.0,30.8
1,3.0,26.7,67.0,30.8
1,5.0,26.3,51.0,30.8
1,3.0,26.3,51.0,30.8
1,3.0,26.3,51.0,30.8
1,3.0,26.3,51.0,30.8
1,3.0,26.3,51.0,30.8
1,3.0,26.3,51.0,30.8
1,3.0,26.3,51.0,30.8
1,4.0,26.3,51.0,30.8
1,3.0,26.3,51.0,30.8
1,4.0,26.3,51.0,30.8
1,5.0,26.3,51.0,30.8
1,5.0,26.3,51.0,30.8
1,5.0,26.3,51.0,30.8
1,5.0,26.3,51.0,30.8
1,3.0,26.3,51.0,30.8
1,4.0,26.3,51.0,30.8
1,3.0,26.3,51.0,30.8
1,4.0,26.2,56.0,30.8
1,4.0,26.2,56.0,30.8
1,6.0,26.2,56.0,30.8
1,6.0,26.2,56.0,30.8
1,4.0,26.2,56.0,30.8
1,4.0,26.2,56.0,30.8
1,3.0,26.2,56.0,30.8
1,4.0,26.2,56.0,30.8
1,4.0,26.2,56.0,30.8
1,3.0,27.9,55.0,30.8
1,3.0,27.9,55.0,30.8
1,3.0,27.9,55.0,30.8
1,3.0,27.9,55.0,30.8
1,3.0,27.9,55.0,30.8
1,4.0,28.2,48.0,30.8
1,5.0,28.2,48.0,30.8
1,5.0,28.2,48.0,30.8
1,6.0,28.2,48.0,30.8
1,7.0,28.2,48.0,30.8
1,4.0,26.7,47.0,30.8
1,7.0,26.7,47.0,30.8
1,4.0,26.7,47.0,30.8
1,4.0,26.7,47.0,30.8
1,4.0,26.7,47.0,30.8
1,6.0,27.4,51.0,30.8
1,4.0,27.1,52.0,30.8
1,4.0,26.8,53.0,30.8
1,3.0,26.8,53.0,30.8
1,4.0,26.8,53.0,30.8
1,4.0,27.1,55.0,30.8
1,3.0,27.1,55.0,30.8
1,5.0,25.8,66.0,30.8
1,3.0,25.8,66.0,30.8
1,3.0,25.8,66.0,30.8
1,4.0,25.8,66.0,30.8
1,5.0,25.7,47.0,30.8
1,5.0,25.7,47.0,30.8
1,4.0,25.7,47.0,30.8
1,4.0,25.7,47.0,30.8
1,3.0,24.6,46.0,30.8
1,3.0,24.6,46.0,30.8
1,3.0,24.6,46.0,30.8
1,7.0,28.8,59.0,30.8
1,3.0,28.8,59.0,30.8
1,3.0,28.8,59.0,30.8
1,5.0,29.2,59.0,30.8
1,7.0,29.2,59.0,30.8
1,6.0,26.0,54.0,30.8
